"LURN_SAK","INCIDENT_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
18615487,"2018-06-19 09:00:00","LARCENY THEFT","385","THEFT, PETTY: Auto Parts And Accessories","5300 CLARKDALE ST, LAKEWOOD, CA 90712","5300 CLARKDALE ST","LAKEWOOD","90712","918-13659-1321","1321","13659","CA0190013","LAKEWOOD","N"
18617576,"2018-06-19 10:30:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","24800 TREVINO DR, VALENCIA, CA 91355","24800 TREVINO DR","VALENCIA","91355","918-08632-0623","0623","08632","CA0190006","SANTA CLARITA VALLEY","N"
18616034,"2018-06-19 11:45:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","8400 FOUNTAIN AVE, WEST HOLLYWOOD, CA","8400 FOUNTAIN AVE","WEST HOLLYWOOD",,"918-04063-0975","0975","04063","CA0190009","WEST HOLLYWOOD","N"
18615055,"2018-06-19 12:15:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","18300 COLIMA RD, ROWLAND HEIGHTS, CA 91748","18300 COLIMA RD","ROWLAND HEIGHTS","91748","918-03888-2930","2930","03888","CA0190020","WALNUT","N"
18615154,"2018-06-19 12:25:00","LARCENY THEFT","386","THEFT, PETTY: Bicycles","19300 SOLEDAD CANYON RD, CANYON COUNTRY, CA","19300 SOLEDAD CANYON RD","CANYON COUNTRY",,"918-08534-0613","0613","08534","CA0190006","SANTA CLARITA VALLEY","N"
18615451,"2018-06-19 12:50:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","39100 CLOCKTOWER PLAZA DR, PALMDALE, CA","39100 CLOCKTOWER PLAZA DR","PALMDALE",,"918-08994-2619","2619","08994","CA01900W9","PALMDALE","N"
18614980,"2018-06-19 13:05:04","LARCENY THEFT","089","GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","4200 FAIR AVE, STUDIO CITY, CA 91602","4200 FAIR AVE","STUDIO CITY","91602","918-00100-3343","3343","00100","CA0190023","FRAUD & CYBER CRIMES BUREAU","N"
18615037,"2018-06-19 13:27:00","LARCENY THEFT","383","THEFT, PETTY: Shoplifting (From Dept Store, Mkt, Etc)","20700 AMAR RD, WALNUT, CA 91789","20700 AMAR RD","WALNUT","91789","918-03887-2910","2910","03887","CA0190020","WALNUT","N"
18616121,"2018-06-19 13:30:00","LARCENY THEFT","350","LOCKER BURGLARY","200 E LOMITA BLVD, CARSON, CA 90745","200 E LOMITA BLVD","CARSON","90745","918-06409-1624","1624","06409","CA0190016","CARSON","N"
18615183,"2018-06-19 13:30:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","200 CITADEL DR, COMMERCE, CA","200 CITADEL DR","COMMERCE",,"918-09237-0245","0245","09237","CA0190002","EAST LOS ANGELES","N"
18619413,"2018-06-19 13:30:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","6800 LOS VERDES DR, RANCHO PALOS VERDES, CA 90275","6800 LOS VERDES DR","RANCHO PALOS VERDES","90275","918-02355-1736","1736","02355","CA0190017","LOMITA","N"
18615085,"2018-06-19 13:37:00","LARCENY THEFT","383","THEFT, PETTY: Shoplifting (From Dept Store, Mkt, Etc)","7700 ALAMEDA ST, HUNTINGTON PARK, CA 90255","7700 ALAMEDA ST","HUNTINGTON PARK","90255","918-08969-2173","2173","08969","CA01900V3","CENTURY","N"
